leiden,PR,SD
0,0.6855840927920464,0.3144159072079536
1,0.897610121836926,0.10238987816307404
2,0.7115621156211562,0.28843788437884377
3,0.805625,0.194375
4,0.2759633027522936,0.7240366972477065
5,0.5479573712255773,0.45204262877442275
6,0.2624697336561743,0.7375302663438257
7,0.5497223624432105,0.4502776375567895
8,0.0,1.0
9,0.5460335842501448,0.45396641574985525
10,0.7464200477326969,0.2535799522673031
11,0.43504736129905275,0.5649526387009473
12,0.9106296547054841,0.08937034529451592
13,0.6117814052519518,0.38821859474804826
14,0.5245597775718258,0.47544022242817424
15,0.2692307692307692,0.7307692307692307
16,0.8071748878923767,0.19282511210762332
17,0.8092307692307692,0.19076923076923077
18,0.20434782608695654,0.7956521739130434
19,0.4022038567493113,0.5977961432506887
20,0.19343065693430658,0.8065693430656934
21,0.007042253521126761,0.9929577464788732
