group,names,scores,logfoldchanges,pvals,pvals_adj
0,IL7R,80.906425,,0.0,0.0
0,SPOCK2,70.356186,,0.0,0.0
0,TRAC,67.30362,,0.0,0.0
0,CD3E,60.506275,,0.0,0.0
0,TRBC2,59.858597,,0.0,0.0
0,CD2,58.87657,,0.0,0.0
0,IL32,54.65118,,0.0,0.0
0,ZFP36L2,53.034294,,0.0,0.0
0,ETS1,52.927013,,0.0,0.0
0,TCF7,50.76627,,0.0,0.0
0,CXCR4,49.40063,,0.0,0.0
0,FYB1,49.208397,,0.0,0.0
0,MAF,48.254036,,0.0,0.0
0,LTB,43.05732,,0.0,0.0
0,CD69,40.805195,,0.0,0.0
0,BCL11B,40.53332,,0.0,0.0
0,JUNB,39.32433,,0.0,0.0
0,CD3G,38.02342,,0.0,0.0
0,GIMAP7,37.79219,,0.0,0.0
0,CD3D,37.38193,,7.682474437786191e-306,3.012735073641644e-304
0,TNFAIP3,37.017265,,6.041752301631801e-300,2.3237508852430005e-298
0,TRBC1,36.730717,,2.3623053505269852e-295,8.914359813309378e-294
0,ITM2A,36.500423,,1.0919027994140375e-291,3.9705556342328637e-290
0,FYN,36.346146,,3.023132162576387e-289,1.060748127219785e-287
0,CD40LG,36.111477,,1.4981550747706403e-285,4.9119838517070176e-284
0,CD96,35.086433,,1.0854904943812816e-269,3.339970751942404e-268
0,IL2RG,34.78245,,4.4809840275951516e-265,1.29883595002758e-263
0,BIRC3,34.6435,,5.596350441946946e-263,1.5764367442104076e-261
0,CD5,32.955967,,3.474709445890308e-238,9.265891855707487e-237
0,ITK,32.59801,,4.3760629599324165e-233,1.1515955157716886e-231
1,CCL5,94.78754,,0.0,0.0
1,CD8A,85.898865,,0.0,0.0
1,GZMA,79.57827,,0.0,0.0
1,NKG7,77.76543,,0.0,0.0
1,CD2,73.5048,,0.0,0.0
1,PRF1,71.79245,,0.0,0.0
1,TRBC2,71.31831,,0.0,0.0
1,GZMB,69.69579,,0.0,0.0
1,CD3E,68.773415,,0.0,0.0
1,TRAC,67.73996,,0.0,0.0
1,IL32,66.84731,,0.0,0.0
1,CD3G,62.76097,,0.0,0.0
1,CD7,61.878605,,0.0,0.0
1,ID2,61.51565,,0.0,0.0
1,APOBEC3G,60.346188,,0.0,0.0
1,GZMH,59.096737,,0.0,0.0
1,CD3D,58.71527,,0.0,0.0
1,CCL4,58.588905,,0.0,0.0
1,CD96,58.325165,,0.0,0.0
1,IKZF3,57.92164,,0.0,0.0
1,IL2RB,57.230347,,0.0,0.0
1,IL2RG,54.282845,,0.0,0.0
1,GNLY,53.449833,,0.0,0.0
1,CCND2,50.3409,,0.0,0.0
1,CTSW,48.423416,,0.0,0.0
1,IFNG,48.242527,,0.0,0.0
1,TIGIT,47.89878,,0.0,0.0
1,LINC01871,47.82316,,0.0,0.0
1,KLRD1,46.990692,,0.0,0.0
1,LAG3,46.92652,,0.0,0.0
2,MS4A1,92.613335,,0.0,0.0
2,CD79A,84.33966,,0.0,0.0
2,BANK1,74.84826,,0.0,0.0
2,CD74,73.495804,,0.0,0.0
2,HLA-DRA,60.119915,,0.0,0.0
2,HLA-DPB1,57.705585,,0.0,0.0
2,HLA-DPA1,55.21652,,0.0,0.0
2,HLA-DQA1,52.630672,,0.0,0.0
2,POU2F2,50.612507,,0.0,0.0
2,CD19,48.745823,,0.0,0.0
2,HLA-DRB1,48.5196,,0.0,0.0
2,IGKC,47.912254,,0.0,0.0
2,RALGPS2,47.76788,,0.0,0.0
2,TNFRSF13C,47.013462,,0.0,0.0
2,CXCR4,46.95978,,0.0,0.0
2,CD52,45.160336,,0.0,0.0
2,HLA-DQB1,44.92747,,0.0,0.0
2,PAX5,44.536503,,0.0,0.0
2,FCRLA,43.160362,,0.0,0.0
2,CD22,42.460464,,0.0,0.0
2,LTB,41.963703,,0.0,0.0
2,FCMR,40.828312,,0.0,0.0
2,HLA-DOB,38.751244,,0.0,0.0
2,VPREB3,38.513115,,0.0,0.0
2,CD79B,37.234154,,1.9125688562822697e-303,7.969036901176123e-302
2,POU2AF1,36.082497,,4.2676166884405565e-285,1.7070466753762228e-283
2,IGHM,35.74032,,9.35407904480373e-280,3.668266292079894e-278
2,HLA-DMB,34.408783,,1.8634778747242133e-259,6.65527812401505e-258
2,CD24,34.22848,,9.117970403243952e-257,3.1441277252565352e-255
2,TLR10,32.5447,,2.488449768742472e-232,7.899840535690383e-231
3,GZMK,80.36229,,0.0,0.0
3,CCL5,68.66594,,0.0,0.0
3,CST7,63.136494,,0.0,0.0
3,GZMA,59.114132,,0.0,0.0
3,IL32,56.0727,,0.0,0.0
3,CD3E,53.690853,,0.0,0.0
3,TRBC2,49.6695,,0.0,0.0
