group,names,scores,logfoldchanges,pvals,pvals_adj
4,FBP1,81.06854,,0.0,0.0
4,MRC1,80.71884,,0.0,0.0
4,APOC1,78.37982,,0.0,0.0
4,ACP5,78.36797,,0.0,0.0
4,VIM,78.33896,,0.0,0.0
4,CTSD,77.94482,,0.0,0.0
4,MSR1,77.34951,,0.0,0.0
4,VSIG4,76.88011,,0.0,0.0
4,FTL,76.55559,,0.0,0.0
4,GRN,76.46577,,0.0,0.0
4,MS4A7,76.440475,,0.0,0.0
4,C1QB,76.18953,,0.0,0.0
4,CPM,76.01357,,0.0,0.0
4,C1QA,75.90621,,0.0,0.0
4,CAPG,75.81148,,0.0,0.0
4,HLA-DRB1,75.8006,,0.0,0.0
4,GPNMB,75.09708,,0.0,0.0
4,PSAP,74.674194,,0.0,0.0
4,C1QC,74.47494,,0.0,0.0
4,LGALS3,74.28474,,0.0,0.0
4,LYZ,73.67705,,0.0,0.0
4,MS4A4A,73.63015,,0.0,0.0
4,ANXA2,73.527916,,0.0,0.0
4,CTSB,72.461914,,0.0,0.0
4,CST3,72.41695,,0.0,0.0
4,LPL,72.26295,,0.0,0.0
4,LIPA,71.92906,,0.0,0.0
4,APOE,71.92488,,0.0,0.0
4,MARCO,71.845726,,0.0,0.0
4,TIMP2,71.70934,,0.0,0.0
4,CCL18,70.84475,,0.0,0.0
4,HLA-DRA,70.169914,,0.0,0.0
4,CSTB,69.54772,,0.0,0.0
4,CYBB,68.91766,,0.0,0.0
4,CD163,68.908,,0.0,0.0
4,CXCL16,67.64711,,0.0,0.0
4,NPC2,67.31087,,0.0,0.0
4,A2M,67.22797,,0.0,0.0
4,CD63,67.19126,,0.0,0.0
4,HLA-DPA1,66.59703,,0.0,0.0
4,OLR1,66.56555,,0.0,0.0
4,ASAH1,66.425,,0.0,0.0
4,LGALS1,65.14173,,0.0,0.0
4,HLA-DPB1,65.01391,,0.0,0.0
4,IGSF6,64.87935,,0.0,0.0
4,TYROBP,64.811874,,0.0,0.0
4,CTSL,64.53022,,0.0,0.0
4,SMIM25,63.602615,,0.0,0.0
4,FN1,63.35018,,0.0,0.0
4,CTSS,63.25658,,0.0,0.0
6,S100A9,74.90532,,0.0,0.0
6,S100A8,74.35765,,0.0,0.0
6,IFITM2,73.999016,,0.0,0.0
6,MNDA,73.23242,,0.0,0.0
6,FCGR3B,72.064606,,0.0,0.0
6,CSF3R,71.6598,,0.0,0.0
6,RGS2,71.184135,,0.0,0.0
6,CXCR2,70.56806,,0.0,0.0
6,SELL,69.999664,,0.0,0.0
6,FPR1,68.73452,,0.0,0.0
6,SRGN,68.7077,,0.0,0.0
6,C5AR1,68.530014,,0.0,0.0
6,NAMPT,68.42796,,0.0,0.0
6,GCA,67.25479,,0.0,0.0
6,BASP1,66.551216,,0.0,0.0
